"","BUDGET","REVENUE","POPULARITY","RUNTIME","VOTE_AVERAGE","VOTE_COUNT","yt_likes","yt_views","time_trailerToMovie_Days","Tomatometer","Weighted_Score","Audience_Score","Awards","Nominations"
"BUDGET",1,0.685105434173754,0.148741108178974,0.421295325250176,0.153459292991202,0.52483311060656,0.304544026300099,0.330192328964425,0.0924637915148542,0.104207602809525,0.13875457528198,0.198232178692891,0.119170563075265,0.104528512291475
"REVENUE",0.685105434173754,1,0.132864060038831,0.338463545144396,0.25313615018693,0.721143964347967,0.40338469910324,0.449229265176017,0.0198400433663429,0.193690929889159,0.233075587662782,0.282599689417451,0.209127936457988,0.215300737150587
"POPULARITY",0.148741108178974,0.132864060038831,1,0.159053128830045,0.125167004478713,0.0277639212097493,0.130570342548513,0.111410036175184,-0.0223995217974597,0.093550598080066,0.112308163941354,0.13750365809063,0.00513237093950433,0.008124522882606
"RUNTIME",0.421295325250176,0.338463545144396,0.159053128830045,1,0.367116072757268,0.378588378422319,0.194393030579531,0.204870262438318,0.0411604536150128,0.297220361424273,0.337127264469144,0.362673468726201,0.169261139405777,0.221655483475083
"VOTE_AVERAGE",0.153459292991202,0.25313615018693,0.125167004478713,0.367116072757268,1,0.387967938939458,0.210653962291695,0.22898108300651,0.0434738265512728,0.607679594301032,0.695084588980052,0.763417490551335,0.257656251131958,0.265214805948356
"VOTE_COUNT",0.52483311060656,0.721143964347967,0.0277639212097493,0.378588378422319,0.387967938939458,1,0.335234271593314,0.402542952931381,0.0473854171719072,0.322743981329277,0.352350280008392,0.347200157284806,0.356284290798067,0.342871486365513
"yt_likes",0.304544026300099,0.40338469910324,0.130570342548513,0.194393030579531,0.210653962291695,0.335234271593314,1,0.694528575986893,0.0640111936207688,0.15903282407011,0.201155439818326,0.265512284358122,0.0581668702014402,0.0746075169457578
"yt_views",0.330192328964425,0.449229265176017,0.111410036175184,0.204870262438318,0.22898108300651,0.402542952931381,0.694528575986893,1,0.0228476652560112,0.195129771031485,0.240528765258338,0.302810984185423,0.0728409858520141,0.090367089859093
"time_trailerToMovie_Days",0.0924637915148542,0.0198400433663429,-0.0223995217974597,0.0411604536150128,0.0434738265512728,0.0473854171719072,0.0640111936207688,0.0228476652560112,1,0.0649062559950778,0.0681070858121385,0.0600519181746475,0.040283903089398,0.0693074743998208
"Tomatometer",0.104207602809525,0.193690929889159,0.093550598080066,0.297220361424273,0.607679594301032,0.322743981329277,0.15903282407011,0.195129771031485,0.0649062559950778,1,0.976717691538614,0.686459605498618,0.238140323842942,0.258530690578403
"Weighted_Score",0.13875457528198,0.233075587662782,0.112308163941354,0.337127264469144,0.695084588980052,0.352350280008392,0.201155439818326,0.240528765258338,0.0681070858121385,0.976717691538614,1,0.826209107683863,0.247507609626305,0.268461197606921
"Audience_Score",0.198232178692891,0.282599689417451,0.13750365809063,0.362673468726201,0.763417490551335,0.347200157284806,0.265512284358122,0.302810984185423,0.0600519181746475,0.686459605498618,0.826209107683863,1,0.213350594170854,0.230532870809834
"Awards",0.119170563075265,0.209127936457988,0.00513237093950433,0.169261139405777,0.257656251131958,0.356284290798067,0.0581668702014402,0.0728409858520141,0.040283903089398,0.238140323842942,0.247507609626305,0.213350594170854,1,0.882533672020084
"Nominations",0.104528512291475,0.215300737150587,0.008124522882606,0.221655483475083,0.265214805948356,0.342871486365513,0.0746075169457578,0.090367089859093,0.0693074743998208,0.258530690578403,0.268461197606921,0.230532870809834,0.882533672020084,1
